RMIX Batch,Fin Batch,MDL,MDA,MDB,TDL,TDA,TDB,STR
39429,39459,-0.5,-0.1,-0.2,-0.3,0,-0.2,102
39430,39460,0.4,0.1,0,0.5,-0.1,0,96
39914,39961,-0.6,-0.2,-0.6,-0.6,-0.1,-0.5,104
39915,39962,-0.2,-0.2,-0.7,-0.3,0,-0.5,101
39916,39963,-0.9,-0.3,-0.4,-0.4,-0.1,-0.4,103
39917,39964,-0.6,-0.1,-0.3,-0.3,-0.1,-0.3,102
39924,39965,-0.6,-0.3,-0.4,-0.1,-0.2,-0.4,100
39926,39966,0,-0.1,-0.2,0.5,-0.1,0,97
40350,40362,-0.6,-0.2,-0.1,-0.2,-0.1,-0.2,101
40355,40364,-0.6,-0.1,0.1,0,-0.1,0,100
40356,40367,-0.2,-0.2,-0.5,-0.1,-0.1,-0.3,100
40357,40368,-0.5,-0.1,-0.1,0.1,-0.1,0,99
40691,40703,0,0,0,0.7,-0.2,-0.1,95
40692,40704,0.3,0,0,0.4,-0.1,0,97
40693,40705,0.4,-0.1,-0.2,0.5,-0.2,-0.1,97
40694,40706,0.1,-0.2,-0.2,0.6,-0.3,-0.6,95
41775,41792,-0.3,0,-0.1,-0.1,-0.1,-0.2,100
41779,41794,0.1,0,0.1,-0.1,0,0.2,101
41780,41795,-0.2,0,0.1,0,-0.1,-0.1,100
